,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
17,WISHING WELL,JUICE WRLD,0.65,0.613,9,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,149.972,194621,1
18,RICH NIGGA SHIT,21 SAVAGE,0.825,0.733,1,-5.625,0,0.0969,0.349,0.0,0.112,0.62,97.974,190331,0
19,GOOD DAYS,SZA,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204,0
20,CHICAGO FREESTYLE,DRAKE,0.735,0.449,10,-7.507,1,0.347,0.629,0.0,0.113,0.0397,122.947,220488,1
21,16,BABY KEEM,0.701,0.782,1,-4.987,1,0.138,0.0918,2.31e-06,0.124,0.57,94.03,156040,0
22,EVERY CHANCE I GET,DJ KHALED,0.477,0.727,2,-4.053,1,0.286,0.000866,0.0,0.108,0.227,150.062,236524,1
23,M Y . L I F E,J. COLE,0.597,0.587,7,-7.026,0,0.137,0.0622,0.0,0.214,0.0753,140.021,218802,0
24,SWEET / I THOUGHT YOU WANTED TO DANCE,"TYLER, THE CREATOR",0.468,0.652,0,-4.912,1,0.0722,0.333,0.000318,0.55,0.39,140.223,588139,0
25,SON OF A SINNER,JELLY ROLL,0.365,0.541,7,-7.489,1,0.0304,0.0419,2.25e-06,0.281,0.329,86.041,232093,0
26,GODZILLA,EMINEM,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,210800,1
27,COME & GO,JUICE WRLD,0.625,0.814,0,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,144.991,205485,0
28,TELL EM,COCHISE,0.672,0.717,5,-7.476,1,0.226,0.103,0.0,0.398,0.473,157.905,180380,1
29,ILOVEUIHATEU,PLAYBOI CARTI,0.684,0.693,4,-6.651,0,0.0339,0.00534,0.0,0.506,0.108,134.988,135122,0
30,ON ME,LIL BABY,0.856,0.564,6,-6.295,0,0.392,0.00327,0.0,0.134,0.483,77.972,135960,1
31,WUSYANAME,"TYLER, THE CREATOR",0.493,0.653,0,-5.666,0,0.0466,0.269,0.0,0.511,0.852,142.347,121573,0
32,21,POLO G,0.783,0.479,7,-10.646,1,0.541,0.149,0.0,0.101,0.533,176.027,163798,1
33,CALLING MY PHONE,LIL TJAY,0.907,0.393,4,-7.636,0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,205458,1
34,WAP,CARDI B,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,187541,1
35,NO IDEA,DON TOLIVER,0.652,0.631,6,-5.718,0,0.0893,0.524,0.000579,0.165,0.35,127.998,154424,1
36,VAMP ANTHEM,PLAYBOI CARTI,0.642,0.69,11,-5.101,1,0.261,0.00599,1.3e-06,0.322,0.641,164.075,124094,0
37,LOT OF ME,LIL TECCA,0.704,0.537,0,-8.565,1,0.302,0.223,0.0,0.122,0.7,77.444,123871,0
38,BROKE IN A MINUTE,TORY LANEZ,0.929,0.7,0,-5.595,0,0.0906,0.144,0.0,0.349,0.802,120.009,132024,1
39,LAUGH NOW CRY LATER,DRAKE,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,261493,1
40,WHAT YOU KNOW BOUT LOVE,POP SMOKE,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000,1
41,3 HEADED GOAT,LIL DURK,0.846,0.48,8,-8.618,0,0.359,0.269,0.0,0.0989,0.419,143.029,169532,1
42,FAMILY TIES,BABY KEEM,0.711,0.611,1,-5.453,1,0.329,0.00575,0.0,0.231,0.144,134.14,252070,1
43,WASTE,KXLLSWXTCH,0.627,0.123,7,-14.411,1,0.0316,0.859,0.00105,0.149,0.11,131.883,120429,0
44,FOR THE NIGHT,POP SMOKE,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,190476,1
45,WAY 2 SEXY,DRAKE,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,257605,1
46,CONVERSATIONS,JUICE WRLD,0.747,0.622,11,-5.825,1,0.0838,0.176,0.0,0.151,0.57,159.93,181661,1
47,SUPER GREMLIN,KODAK BLACK,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,200548,1
48,AFTER PARTY,DON TOLIVER,0.629,0.692,5,-8.045,1,0.0376,0.00981,0.331,0.603,0.453,162.948,167916,1
49,YALE,KEN CARSON,0.728,0.442,1,-10.095,1,0.0565,0.000487,8.21e-06,0.149,0.441,142.025,106536,0
