,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
9739,DAYS AND DAYS,LIL WAYNE,0.717,0.589,4,-4.843,1,0.333,0.00617,0.00E+00,0.338,0.811,142.09,193307,0
9740,GOD OF WAAR,DIRTY WORMZ,0.699,0.87,1,-5.971,1,0.133,0.0297,0.00E+00,0.305,0.366,130.034,251373,0
9741,GO LONG,NIPSEY HUSSLE,0.742,0.682,8,-9.033,1,0.0414,0.189,0.00E+00,0.156,0.143,101.026,296053,0
9742,MERCY.1 - ALBUM VERSION (EDITED),KANYE WEST,0.69,0.519,6,-8.355,0,0.405,0.07,1.30E-04,0.331,0.408,140.211,326333,0
9743,SWANG,TRAE THA TRUTH,0.587,0.699,1,-6.033,1,0.177,0.0297,3.22E-05,0.325,0.421,77.063,345987,0
9744,VERSACE,MIGOS,0.841,0.729,6,-3.047,0,0.239,0.0384,0.00E+00,0.276,0.444,132.073,195474,1
9745,WARNING SHOT,MACHINE GUN KELLY,0.583,0.856,0,-5.565,1,0.0545,0.0016,0.00E+00,0.31,0.288,148.75,202173,0
9746,AYY LADIES,TRAVIS PORTER,0.905,0.753,10,-3.613,0,0.164,0.0937,0.00E+00,0.0438,0.747,96.05,213107,1
9747,FLEXIN & FINESSIN,SPEAKER KNOCKERZ,0.688,0.773,0,-5.329,0,0.0416,0.0191,0.00E+00,0.496,0.807,155.031,170840,0
9748,GANGSTAS LIFE,NIPSEY HUSSLE,0.857,0.449,0,-10.013,1,0.333,0.0133,0.00E+00,0.145,0.672,94.053,234974,0
9749,STARSHIPS,NICKI MINAJ,0.746,0.728,11,-2.454,0,0.0736,0.149,0.00E+00,0.245,0.718,125.027,210613,1
9750,BUGATTI,ACE HOOD,0.675,0.648,1,-4.748,1,0.161,0.0818,0.00E+00,0.584,0.293,130.968,326107,1
9751,SOMOS DE BARRIO REMIX,C-KAN,0.798,0.853,11,-3.513,0,0.0978,0.289,0.00E+00,0.427,0.709,93.009,191880,0
9752,LIFE HAS VALUE,CHILL BUMP,0.642,0.67,7,-6.432,1,0.254,0.79,0.00E+00,0.154,0.757,78.69,177692,0
9753,EN EL VALLE DE LAS SOMBRAS,CANSERBERO,0.599,0.898,2,-4.689,1,0.145,0.484,4.10E-04,0.11,0.453,123.802,340715,0
9754,MEXICAN HEAVEN (POCOS PERO LOCOS VERSION),SOUTH PARK MEXICAN,0.692,0.679,1,-7.026,1,0.218,0.13,0.00E+00,0.11,0.695,81.961,251267,0
9755,APA Y CAN,CANSERBERO,0.698,0.864,9,-3.832,1,0.241,0.475,2.17E-06,0.322,0.728,95.631,303569,0
9756,TWILIGHT (WAR WITH GOD),KEVIN GATES,0.629,0.717,9,-5.727,1,0.0647,0.00332,0.00E+00,0.139,0.387,150.146,154279,0
9757,YELLOW DIAMONDS,CHRIS TRAVIS,0.652,0.602,9,-7.561,0,0.137,0.332,0.00E+00,0.558,0.48,117.932,187421,0
9758,WONDER WHY THEY CALL YOU BITCH,2PAC,0.901,0.473,4,-12.466,0,0.192,0.0156,1.22E-06,0.0965,0.621,101.14,249934,0
9759,DOPE,TYGA,0.584,0.531,0,-6.907,1,0.375,0.0115,0.00E+00,0.126,0.346,94.907,223080,1
9760,SEE MY TEARS,MACHINE GUN KELLY,0.707,0.684,11,-7.689,0,0.245,0.0445,0.00E+00,0.135,0.339,139.973,249627,0
9761,LIVIN' IT UP,JA RULE,0.88,0.766,6,-4.071,1,0.301,0.057,0.00E+00,0.0414,0.658,106.034,257000,0
9762,STARTING OVER,MACKLEMORE & RYAN LEWIS,0.536,0.873,6,-6.505,1,0.409,0.725,9.46E-03,0.684,0.644,164.084,251196,0
9763,ON THE SET,YG,0.761,0.327,8,-10.62,0,0.0289,0.0101,0.00E+00,0.0897,0.617,94.281,205949,0
9764,DE MI MUERTE,CANSERBERO,0.507,0.78,1,-5.746,1,0.445,0.282,0.00E+00,0.0604,0.56,176.536,221649,0
9765,PRAY,THE GAME,0.676,0.66,0,-9.001,1,0.084,0.646,0.00E+00,0.167,0.371,120.271,298160,0
9766,REALLY FROM DA HOOD,PLIES,0.706,0.665,1,-7.009,1,0.481,0.0697,0.00E+00,0.109,0.846,180.236,195027,0
9767,USED 2,2 CHAINZ,0.669,0.919,11,-4.802,1,0.0653,0.018,0.00E+00,0.113,0.546,178.67,225400,0
9768,TRAP HOUSE 3,GUCCI MANE,0.835,0.571,1,-10.603,0,0.121,0.0371,4.54E-05,0.397,0.082,112.132,228187,0
9769,IT'S NOTHIN,WIZ KHALIFA,0.833,0.753,1,-6.333,1,0.232,0.0716,3.04E-06,0.637,0.502,138.469,227827,0
9770,KEEP IT REAL,KYLE,0.519,0.684,6,-6.452,0,0.496,0.224,0.00E+00,0.359,0.46,137.747,228650,0
9771,TRY 'N HOLD ME BACK,ROB BAILEY & THE HUSTLE STANDARD,0.548,0.853,7,-7.284,1,0.0837,0.179,0.00E+00,0.272,0.579,144.09,231149,0
9772,FREAKS,FRENCH MONTANA,0.771,0.895,9,-4.805,1,0.253,0.0499,0.00E+00,0.571,0.771,96.576,181920,1
9773,ALL GOLD EVERYTHING - REMIX,TRINIDAD JAMES,0.779,0.745,7,-7.597,1,0.345,0.046,0.00E+00,0.331,0.655,99.944,281280,0
9774,NEON LIGHTS,KEVIN GATES,0.646,0.855,4,-3.175,0,0.278,0.0864,0.00E+00,0.141,0.524,135.735,222067,0
9775,(BONUS) NO MATTER WHAT,FUTURE,0.497,0.72,5,-5.108,0,0.179,0.185,0.00E+00,0.106,0.517,127.19,227680,0
